# HRMSv2/CAN LOGGER made by brzanad
# TIMESTAMP - human readable format
# ID - HEX format
# DATA - HEX format
# HH:MM:SS,KKK;ID;DATADATADATADATA
18:11:42,652;2C;FF0DBA00FF0DD800
18:11:42,652;28;FE130D0020000000
18:11:42,652;29;FE130D0020000000
18:11:42,652;2C;FF0DB800FF0DD900
18:11:42,652;28;FF170D0060250200
18:11:42,652;29;FF130D0020D60100
18:11:42,652;2C;FF0DB800FF0DD600
18:11:42,652;28;FF170D00E0280200
18:11:42,671;2D;FF0DDB00FF0DC500
18:11:42,672;2A;FF7B0D20A30C0200
18:11:42,673;2B;FD7B0D00609C0100
18:18:11:42,680;20;0000000000000000
18:11:42,681;0D;0000000000000000
18:11:42,714;2C;FF0DB900FF0DCD00
18:11:42,715;28;FF170D00A0280200
18:11:42,716;29;FF130D00E0D80100
18:11:42,730;0D;0000000000000000
18:11:42,771;2D;FF0DDB00FF0DBC00
18:11:42,772;2A;FF7B0D2023090200
18:11:42,773;2B;FD7B0D00209C0100
18:11:42,780;20;0000000000000000
18:11:42,781;0D;0000000000000000
18:11:42,814;2C;FF0DBD00FF0DD600
18:11:42,815;28;FF170D00A0280200
18:11:42,816;29;FF130D00A0D60100
18:11:42,831;0D;0000000000000000
18:11:42,840;14;0000000000000000
18:11:42,841;15;0000000000000000
18:11:42,842;17;6647794100000000
18:11:42,872;2D;FF0DD700FF0DBE00
18:11:42,873;2A;FF7B0D20E30B0200
18:11:42,873;2B;FD7B0D00609C0100
18:11:42,880;20;0000000000000000
18:11:42,881;0D;0000000000000000
18:11:42,915;2C;FF0DBD00FF0DD500
18:11:42,916;28;FF170D00E0280200
18:11:42,917;29;FF130D00E0D80100
18:11:42,930;0D;0000000000000000
18:11:42,971;2D;FF0DD200FF0DC300
18:11:42,972;2A;FF7B0D20E3080200
18:11:42,973;2B;FD7B0D00209C0100
18:11:42,980;20;0000000000000000
18:11:42,981;0D;0000000000000000
18:11:43,014;2C;FF0DBF00FF0DD300
18:11:43,015;28;FF130D0060250200
18:11:43,016;29;FF130D00E0D80100
18:11:43,030;0D;0000000000000000
18:11:43,071;2D;FF0DD600FF0DBD00
18:11:43,072;2A;FF7B0D2063090200
18:11:43,073;2B;FD7B0D00609C0100
18:11:43,082;20;0000000000000000
18:11:43,083;0D;0000000000000000
18:11:43,091;14;0000000000000000
18:11:43,092;15;0000000000000000
18:11:43,093;17;B36B794100000000
18:11:43,114;2C;FF0DB600FF0DD500
18:11:43,115;28;FF170D00A0250200
18:11:43,116;29;FF130D0020D90100
18:11:43,130;0D;0000000000000000
18:11:43,171;2D;FF0DD100FF0DBE00
18:11:43,172;2A;FF7B0D20630C0200
18:11:43,173;2B;FD7F0D00E09C0100
18:11:43,180;20;0000000000000000
18:11:43,181;0D;0000000000000000
18:11:43,214;2C;FF0DB600FF0DD800
18:11:43,215;28;FF170D00A0280200
18:11:43,216;29;FF130D0020D60100
18:11:43,230;0D;0000000000000000
18:11:43,271;2D;FF0DC800FF0DBE00
18:11:43,272;2A;FF7B0D20230C0200
18:11:43,273;2B;FD7F0D00609C0100
18:11:43,280;20;00000000385F1950
18:11:43,281;0D;0000000000000000
18:11:43,282;07;02000000FFFFFFFF
18:11:43,283;18;00000000385F1950
18:11:43,300;20;00000000385F1950
18:11:43,314;2C;FF0DB800FF0DD600
18:11:43,315;28;FF170D00A0280200
18:11:43,316;29;FF130D0020D90100
18:11:43,320;20;00000000345F1950
18:11:43,340;14;0000000000000000
18:11:43,341;15;0000000000000000
18:11:43,342;17;1923794100000000
18:11:43,343;20;00000000385F1950
18:11:43,360;20;00000000385F1950
18:11:43,372;2D;FF0DC800FF0DBE00
18:11:43,373;2A;00700D70A60B0200
18:11:43,374;2B;D55FAD00E0A40110
18:11:43,380;20;00000000385F1950
18:11:43,400;20;00000000345F1950
18:11:43,415;2C;FF0DB700FF0DD600
18:11:43,416;28;FF170D00E0280200
18:11:43,417;29;FF130D00E0D80100
18:11:43,420;20;00000000385F1950
18:11:43,440;20;00000000385F1950
18:11:43,460;20;00000000385F1950
18:11:43,471;2D;FF0DC600FF0DC300
18:11:43,472;2A;FE6F0D70A60B0200
18:11:43,473;2B;A4376D0120A50110
18:11:43,481;20;00000000385F1950
18:11:43,482;0D;0000000000000000
18:11:43,501;20;00000000385F1950
18:11:43,514;2C;FF0DBE00FF0DD500
18:11:43,515;28;FF170D00E0280200
18:11:43,516;29;FF130D00E0D80100
18:11:43,520;20;00000000385F1950
18:11:43,541;20;00000000385F1950
18:11:43,560;20;00000000385F1950
18:11:43,571;2D;FF0DC300FF0DC000
18:11:43,572;2A;FF6F0D70A60B0200
18:11:43,573;2B;8E3FBD01A0A50110
18:11:43,582;20;00000000385F1950
18:11:43,591;01;0000000000000080
18:11:43,592;14;0000000000000000
18:11:43,593;15;0000000000000000
18:11:43,594;17;B36B794100000000
18:11:43,601;20;00000000385F1950
18:11:43,614;2C;FF0DB600FF0DD900
18:11:43,615;28;FF170D00A0280200
18:11:43,616;29;FF130E0D50100
18:11:43,621;20;00000000385F1950
18:11:43,640;20;00000000385F1950
18:11:43,661;20;00000000385F1950

18:11:43,671;2D;FF0DBE00FF0DB900
18:11:44,175;2A;FF730D70E60B0200
18:11:44,176;2B;9D3F8D01A0A50110
18:11:44,177;0D;0000000000000000
18:11:44,178;20;00000000385F1950
18:11:44,179;20;00000000385F1950
18:11:44,180;2C;FF0DB900FF0DDA00
18:11:44,181;28;FF170D00A0260200
18:11:44,182;29;FF130D00E0D80100
18:11:44,183;2D;FF0DBD00FF0DC200
18:11:44,184;20;000080FF395F1950
18:11:44,185;20;000080FF395F1950
18:11:1:44,191;20;000080FF395F1950
18:11:44,198;20;000080FF395F1950
18:11:44,205;20;000080FF395F1950
18:11:44,210;20;000080FF395F1950
18:11:44,214;2C;FF0DBA00FF0DD300
18:11:44,215;28;FF130D00E0280200
18:11:44,216;29;FF130D00E0D60100
18:11:44,217;20;000080FF395F1950
